concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
1576269,Food allergy status,Observation,ICD10CM,5-char nonbill code,NA,Z91.01,2012-01-01,2099-12-31,NA
45542489,Allergy to peanuts,Observation,ICD10CM,6-char billing code,NA,Z91.010,1970-01-01,2099-12-31,NA
45556879,Allergy to eggs,Observation,ICD10CM,6-char billing code,NA,Z91.012,1970-01-01,2099-12-31,NA
45547375,Allergy to seafood,Observation,ICD10CM,6-char billing code,NA,Z91.013,1970-01-01,2099-12-31,NA
766521,Allergy to mammalian meats,Observation,ICD10CM,6-char billing code,NA,Z91.014,2021-10-01,2099-12-31,NA
45566473,Allergy to other foods,Observation,ICD10CM,6-char billing code,NA,Z91.018,1970-01-01,2099-12-31,NA
45576214,Food additives allergy status,Observation,ICD10CM,5-char billing code,NA,Z91.02,1970-01-01,2099-12-31,NA
43531614,History of peanut allergy,Observation,SNOMED,Context-dependent,NA,11000119105,2012-03-01,2015-01-31,D
37395571,Allergy to pineapple,Observation,SNOMED,Clinical Finding,S,13511000122108,2016-07-31,2099-12-31,NA
40302632,H/O: food allergy,Observation,SNOMED,Context-dependent,NA,138882009,1970-01-01,2002-01-31,D
40317208,Egg allergy,Condition,SNOMED,Clinical Finding,NA,157802003,1970-01-01,2002-01-31,D
40317209,Egg protein allergy,Condition,SNOMED,Clinical Finding,NA,157803008,1970-01-01,2002-01-31,U
4049467,Cow's milk protein sensitivity,Observation,SNOMED,Clinical Finding,NA,15911003,2002-01-31,2019-01-31,D
4058847,H/O: food allergy,Observation,SNOMED,Context-dependent,NA,161612000,2002-01-31,2015-01-31,D
37395578,Allergy to mustard seasoning,Observation,SNOMED,Clinical Finding,S,21191000122102,2016-07-31,2099-12-31,NA
40408940,Food allergy,Condition,SNOMED,Clinical Finding,NA,213018006,1970-01-01,2002-01-31,D
40408941,Egg allergy,Condition,SNOMED,Clinical Finding,NA,213019003,1970-01-01,2002-01-31,D
4020878,Allergy to egg protein,Observation,SNOMED,Clinical Finding,S,213020009,2002-01-31,2099-12-31,NA
40408944,Peanut allergy,Condition,SNOMED,Clinical Finding,NA,213021008,1970-01-01,2002-01-31,U
4093602,Soy protein sensitivity,Observation,SNOMED,Clinical Finding,NA,25868003,2002-01-31,2019-01-31,D
40348558,Egg-free diet - allergy,Observation,SNOMED,Clinical Finding,NA,266932000,2002-01-31,2008-07-31,D
4166653,Allergy to tryptophan,Observation,SNOMED,Clinical Finding,S,293842000,2002-01-31,2099-12-31,NA
4167118,Allergy to glycine,Observation,SNOMED,Clinical Finding,S,294298002,2002-01-31,2099-12-31,NA
4167293,Allergy to olive oil,Observation,SNOMED,Clinical Finding,S,294316000,2002-01-31,2099-12-31,NA
4164713,Allergy to Arachis oil,Observation,SNOMED,Clinical Finding,S,294317009,2002-01-31,2099-12-31,NA
4165164,Allergy to guar gum,Observation,SNOMED,Clinical Finding,S,294741005,2002-01-31,2099-12-31,NA
