concept_id,concept_code,concept_name,vocabulary_id,outcome_set_id,outcome_set_name
194992,396331005,Celiac disease,SNOMED,1,Celiac Disease
4027109,197478000,Congenital celiac disease,SNOMED,1,Celiac Disease
4059313,197481005,Celiac disease NOS,SNOMED,1,Celiac Disease
4170117,275404008,Celiac rickets,SNOMED,1,Celiac Disease
4218370,396330006,Celiac crisis,SNOMED,1,Celiac Disease
4241413,91867008,Adult form of celiac disease,SNOMED,1,Celiac Disease
4267871,61715008,Celiac disease with diffuse intestinal ulceration,SNOMED,1,Celiac Disease
35208401,K90.0,Celiac disease,ICD10CM,1,Celiac Disease
36674761,770593004,Refractory celiac disease,SNOMED,1,Celiac Disease
36716394,722386009,Celiac disease with epilepsy and cerebral calcification syndrome,SNOMED,1,Celiac Disease
40317606,155842007,Coeliac disease,SNOMED,1,Celiac Disease
40346344,266478000,Coeliac disease,SNOMED,1,Celiac Disease
40394273,197477005,(Celiac: [disease] or [rickets]) or (Gee-Herter disease),SNOMED,1,Celiac Disease
40440962,23829007,Celiac disease,SNOMED,1,Celiac Disease
45586745,K90.0,Coeliac disease,ICD10,1,Celiac Disease
194684,7620006,Crohn's disease of large bowel,SNOMED,2,Crohns Disease
195575,71833008,Crohn's disease of small AND large intestines,SNOMED,2,Crohns Disease
195585,56689002,Crohn's disease of small intestine,SNOMED,2,Crohns Disease
201606,34000006,Crohn's disease,SNOMED,2,Crohns Disease
1569610,K50,Crohn's disease [regional enteritis],ICD10CM,2,Crohns Disease
1569611,K50.0,Crohn's disease of small intestine,ICD10CM,2,Crohns Disease
1569612,K50.01,Crohn's disease of small intestine with complications,ICD10CM,2,Crohns Disease
1569613,K50.1,Crohn's disease of large intestine,ICD10CM,2,Crohns Disease
1569614,K50.11,Crohn's disease of large intestine with complications,ICD10CM,2,Crohns Disease
1569615,K50.8,Crohn's disease of both small and large intestine,ICD10CM,2,Crohns Disease
1569616,K50.81,Crohn's disease of both small and large intestine with complications,ICD10CM,2,Crohns Disease
1569617,K50.9,"Crohn's disease, unspecified",ICD10CM,2,Crohns Disease
1569618,K50.91,"Crohn's disease, unspecified, with complications",ICD10CM,2,Crohns Disease
3520555,6.25E+14,Crohn's disease of the large bowel NOS,SNOMED,2,Crohns Disease
3523642,1.76E+14,Exacerbation of Crohn's disease of small intestine,SNOMED,2,Crohns Disease
3523643,1.76E+14,Exacerbation of Crohn's disease of large intestine,SNOMED,2,Crohns Disease
3537245,6.33E+14,Crohn's disease of the ileum unspecified,SNOMED,2,Crohns Disease
4025852,196984001,Regional enteritis NOS,SNOMED,2,Crohns Disease
4055020,196977009,Crohn's disease of terminal ileum,SNOMED,2,Crohns Disease
4055021,196979007,Crohn's disease of the ileum NOS,SNOMED,2,Crohns Disease
4055022,196980005,Crohn's disease of the small bowel NOS,SNOMED,2,Crohns Disease
4055884,196578009,Crohn's disease of oral soft tissues,SNOMED,2,Crohns Disease
