concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
45581859,Mild persistent asthma,Condition,ICD10CM,4-char nonbill code,NA,J45.3,2006-12-30,2099-12-31,NA
45576951,"Mild persistent asthma, uncomplicated",Condition,ICD10CM,5-char billing code,NA,J45.30,1970-01-01,2099-12-31,NA
45548117,Mild persistent asthma with (acute) exacerbation,Condition,ICD10CM,5-char billing code,NA,J45.31,1970-01-01,2099-12-31,NA
45576952,Mild persistent asthma with status asthmaticus,Condition,ICD10CM,5-char billing code,NA,J45.32,1970-01-01,2099-12-31,NA
45591558,Moderate persistent asthma,Condition,ICD10CM,4-char nonbill code,NA,J45.4,2006-12-30,2099-12-31,NA
45601133,"Moderate persistent asthma, uncomplicated",Condition,ICD10CM,5-char billing code,NA,J45.40,1970-01-01,2099-12-31,NA
45543269,Moderate persistent asthma with (acute) exacerbation,Condition,ICD10CM,5-char billing code,NA,J45.41,1970-01-01,2099-12-31,NA
45557626,Moderate persistent asthma with status asthmaticus,Condition,ICD10CM,5-char billing code,NA,J45.42,1970-01-01,2099-12-31,NA
45591559,Severe persistent asthma,Condition,ICD10CM,4-char nonbill code,NA,J45.5,2006-12-30,2099-12-31,NA
45567265,"Severe persistent asthma, uncomplicated",Condition,ICD10CM,5-char billing code,NA,J45.50,1970-01-01,2099-12-31,NA
45567266,Severe persistent asthma with (acute) exacerbation,Condition,ICD10CM,5-char billing code,NA,J45.51,1970-01-01,2099-12-31,NA
45581860,Severe persistent asthma with status asthmaticus,Condition,ICD10CM,5-char billing code,NA,J45.52,1970-01-01,2099-12-31,NA
37108580,Severe controlled persistent asthma,Condition,SNOMED,Clinical Finding,S,10675391000119101,2017-07-31,2099-12-31,NA
46269770,Severe persistent allergic asthma,Condition,SNOMED,Clinical Finding,S,10675431000119106,2015-07-31,2099-12-31,NA
46274059,Acute severe exacerbation of severe persistent allergic asthma,Condition,SNOMED,Clinical Finding,S,10675471000119109,2015-07-31,2099-12-31,NA
46269771,Acute severe exacerbation of severe persistent asthma co-occurrent with allergic rhinitis,Condition,SNOMED,Clinical Finding,S,10675551000119104,2015-07-31,2099-12-31,NA
46269772,Severe persistent allergic asthma controlled,Condition,SNOMED,Clinical Finding,S,10675591000119109,2015-07-31,2099-12-31,NA
46269773,Severe persistent asthma controlled co-occurrent with allergic rhinitis,Condition,SNOMED,Clinical Finding,S,10675631000119109,2015-07-31,2099-12-31,NA
46269774,Severe persistent allergic asthma uncontrolled,Condition,SNOMED,Clinical Finding,S,10675671000119107,2015-07-31,2099-12-31,NA
